trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-196.93220280025025,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.804390485451506,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-293.628352911451,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 6}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.77578531648884,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.630632789108475,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,15,3.7536149007294277,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.28876981399324,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,11,-48.71316383389684,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.14781391931905,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.40402054387049,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.86238365496894,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.2214695736524,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.4128599652526,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.84573049828014,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.7681589069643,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.929476314392,"{0: 15, 1: 7, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-253.44095994309237,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.91431445716591,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.10802870863349,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.77222800335501,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.33454944820504,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-150.1887354305851,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.6353690502254,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.24222028938544,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.54872088962139,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,6,-89.76246762024716,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.26437993168234,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.72734543127928,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,7,-163.96357148813945,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 3}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-88.2381269215395,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
